...Logging started...
0.049368: Server Started
6.4493031: RespondedAwaitingApproval 4652121762545616561 127.0.0.1
6.4533208: RespondedConnect 4652121762545616561 127.0.0.1
6.4570765: Connected 4652121762545616561 127.0.0.1
6.4604543: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: StartVoIP( 1 )

6.4612737: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: SetPlayerId( 0 )

6.4668955: AreaChange 4652121762545616561 127.0.0.1
6.4690981: RPC ServerOnly NetSyncId: -1 Function: DoNukeEffect(  )

6.4737331: Instantiate 4652121762545616561 127.0.0.1
	NetworkId: 1
	Prefab: PlayerCharacter
	Loc: 0, 0, 0
	Orientation: 0, 0, 0, 1
6.5779984: SyncUpdate 4652121762545616561 127.0.0.1
6.6784919: SyncUpdate 4652121762545616561 127.0.0.1
6.778831: LiteSyncUpdate 4652121762545616561 127.0.0.1
7.0805686: SyncUpdate 4652121762545616561 127.0.0.1
7.1815996: SyncUpdate 4652121762545616561 127.0.0.1
7.2817545: SyncUpdate 4652121762545616561 127.0.0.1
7.3837631: SyncUpdate 4652121762545616561 127.0.0.1
7.4845442: SyncUpdate 4652121762545616561 127.0.0.1
7.583268: SyncUpdate 4652121762545616561 127.0.0.1
7.6840127: SyncUpdate 4652121762545616561 127.0.0.1
7.7848039: SyncUpdate 4652121762545616561 127.0.0.1
7.8846212: SyncUpdate 4652121762545616561 127.0.0.1
7.9867171: SyncUpdate 4652121762545616561 127.0.0.1
8.0867775: SyncUpdate 4652121762545616561 127.0.0.1
8.1870904: SyncUpdate 4652121762545616561 127.0.0.1
8.2861901: SyncUpdate 4652121762545616561 127.0.0.1
8.3868456: SyncUpdate 4652121762545616561 127.0.0.1
8.4888474: SyncUpdate 4652121762545616561 127.0.0.1
8.5899836: SyncUpdate 4652121762545616561 127.0.0.1
8.6899069: SyncUpdate 4652121762545616561 127.0.0.1
8.7899908: SyncUpdate 4652121762545616561 127.0.0.1
8.8909455: SyncUpdate 4652121762545616561 127.0.0.1
8.9903542: SyncUpdate 4652121762545616561 127.0.0.1
9.0917718: SyncUpdate 4652121762545616561 127.0.0.1
9.1929196: SyncUpdate 4652121762545616561 127.0.0.1
9.292286: SyncUpdate 4652121762545616561 127.0.0.1
9.3932105: SyncUpdate 4652121762545616561 127.0.0.1
9.4925532: SyncUpdate 4652121762545616561 127.0.0.1
9.5939821: SyncUpdate 4652121762545616561 127.0.0.1
9.6941318: SyncUpdate 4652121762545616561 127.0.0.1
9.7947509: SyncUpdate 4652121762545616561 127.0.0.1
9.8946079: SyncUpdate 4652121762545616561 127.0.0.1
9.9954561: SyncUpdate 4652121762545616561 127.0.0.1
10.0945395: SyncUpdate 4652121762545616561 127.0.0.1
10.1962208: SyncUpdate 4652121762545616561 127.0.0.1
10.2960647: SyncUpdate 4652121762545616561 127.0.0.1
10.3958196: SyncUpdate 4652121762545616561 127.0.0.1
10.4977999: SyncUpdate 4652121762545616561 127.0.0.1
10.5983515: SyncUpdate 4652121762545616561 127.0.0.1
10.7008302: SyncUpdate 4652121762545616561 127.0.0.1
10.8002387: SyncUpdate 4652121762545616561 127.0.0.1
10.9026825: SyncUpdate 4652121762545616561 127.0.0.1
11.001615: SyncUpdate 4652121762545616561 127.0.0.1
11.1026399: SyncUpdate 4652121762545616561 127.0.0.1
11.2037487: SyncUpdate 4652121762545616561 127.0.0.1
11.3042782: SyncUpdate 4652121762545616561 127.0.0.1
11.4045298: SyncUpdate 4652121762545616561 127.0.0.1
11.504413: SyncUpdate 4652121762545616561 127.0.0.1
11.6048608: SyncUpdate 4652121762545616561 127.0.0.1
11.7060584: SyncUpdate 4652121762545616561 127.0.0.1
11.8066963: SyncUpdate 4652121762545616561 127.0.0.1
11.9075002: SyncUpdate 4652121762545616561 127.0.0.1
12.0078857: SyncUpdate 4652121762545616561 127.0.0.1
12.108126: SyncUpdate 4652121762545616561 127.0.0.1
12.2087467: SyncUpdate 4652121762545616561 127.0.0.1
12.3118922: SyncUpdate 4652121762545616561 127.0.0.1
