...Logging started...
0.0503997: Server Started
15.9791486: RespondedAwaitingApproval -3674442228563274939 127.0.0.1
15.9920227: RespondedConnect -3674442228563274939 127.0.0.1
15.9923486: Connected -3674442228563274939 127.0.0.1
15.9951215: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: StartVoIP( 1 )

15.9958734: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: SetPlayerId( 0 )

15.9965196: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: SetTeamId( 1 )

16.0123292: AreaChange -3674442228563274939 127.0.0.1
16.0427906: RPC ServerOnly NetSyncId: -1 Function: SetName( Jimmy )

16.0455275: => Outgoing RPC Sent to: AllClients as SingleClient NetSyncId: -1 Function: PlayerNameChanged( 0, Jimmy )

16.0476082: RPC ServerOnly NetSyncId: -1 Function: SpawnShooter( (-8.4, 0.5, 22.4), (0.0, 1.0, 0.0, -0.2) )

16.0537101: => Outgoing RPC Sent to: AllClients as SingleClient NetSyncId: 502 Function: SetNameTag( [Jimmy] )

16.0540066: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: 502 Function: SetMovementSpeed( 80 )

16.0542438: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: ShooterSpawned( 502 )

16.1587348: LiteSyncUpdate -3674442228563274939 127.0.0.1
16.3091455: SyncUpdate -3674442228563274939 127.0.0.1
16.3587646: SyncUpdate -3674442228563274939 127.0.0.1
16.4087022: SyncUpdate -3674442228563274939 127.0.0.1
16.4587081: SyncUpdate -3674442228563274939 127.0.0.1
16.5086953: SyncUpdate -3674442228563274939 127.0.0.1
16.5587223: SyncUpdate -3674442228563274939 127.0.0.1
16.6254523: SyncUpdate -3674442228563274939 127.0.0.1
16.6587222: SyncUpdate -3674442228563274939 127.0.0.1
16.7420941: SyncUpdate -3674442228563274939 127.0.0.1
16.8087001: SyncUpdate -3674442228563274939 127.0.0.1
16.8587401: SyncUpdate -3674442228563274939 127.0.0.1
17.0590615: SyncUpdate -3674442228563274939 127.0.0.1
17.1087777: SyncUpdate -3674442228563274939 127.0.0.1
17.1587811: SyncUpdate -3674442228563274939 127.0.0.1
17.2254743: SyncUpdate -3674442228563274939 127.0.0.1
17.2755617: SyncUpdate -3674442228563274939 127.0.0.1
17.3255178: SyncUpdate -3674442228563274939 127.0.0.1
17.375477: SyncUpdate -3674442228563274939 127.0.0.1
17.4254662: SyncUpdate -3674442228563274939 127.0.0.1
17.4755499: SyncUpdate -3674442228563274939 127.0.0.1
17.5255168: SyncUpdate -3674442228563274939 127.0.0.1
17.5755549: SyncUpdate -3674442228563274939 127.0.0.1
17.6256764: SyncUpdate -3674442228563274939 127.0.0.1
17.6755047: SyncUpdate -3674442228563274939 127.0.0.1
17.725473: SyncUpdate -3674442228563274939 127.0.0.1
17.9755154: SyncUpdate -3674442228563274939 127.0.0.1
18.0255398: SyncUpdate -3674442228563274939 127.0.0.1
18.092371: SyncUpdate -3674442228563274939 127.0.0.1
18.1257049: SyncUpdate -3674442228563274939 127.0.0.1
18.1756954: SyncUpdate -3674442228563274939 127.0.0.1
18.2423623: SyncUpdate -3674442228563274939 127.0.0.1
18.3090752: SyncUpdate -3674442228563274939 127.0.0.1
18.3590955: SyncUpdate -3674442228563274939 127.0.0.1
18.4259665: SyncUpdate -3674442228563274939 127.0.0.1
18.4590612: SyncUpdate -3674442228563274939 127.0.0.1
18.5257372: SyncUpdate -3674442228563274939 127.0.0.1
18.575818: SyncUpdate -3674442228563274939 127.0.0.1
18.6257508: SyncUpdate -3674442228563274939 127.0.0.1
18.6758814: SyncUpdate -3674442228563274939 127.0.0.1
18.7258232: SyncUpdate -3674442228563274939 127.0.0.1
18.7924631: SyncUpdate -3674442228563274939 127.0.0.1
18.8425149: SyncUpdate -3674442228563274939 127.0.0.1
18.8924578: SyncUpdate -3674442228563274939 127.0.0.1
18.9425402: SyncUpdate -3674442228563274939 127.0.0.1
18.9926795: SyncUpdate -3674442228563274939 127.0.0.1
19.0591357: SyncUpdate -3674442228563274939 127.0.0.1
19.1091436: SyncUpdate -3674442228563274939 127.0.0.1
19.1592272: SyncUpdate -3674442228563274939 127.0.0.1
19.2091595: SyncUpdate -3674442228563274939 127.0.0.1
19.2591757: SyncUpdate -3674442228563274939 127.0.0.1
19.3259163: SyncUpdate -3674442228563274939 127.0.0.1
19.3924915: SyncUpdate -3674442228563274939 127.0.0.1
19.4425635: SyncUpdate -3674442228563274939 127.0.0.1
19.4925155: SyncUpdate -3674442228563274939 127.0.0.1
19.5591771: SyncUpdate -3674442228563274939 127.0.0.1
19.6259772: SyncUpdate -3674442228563274939 127.0.0.1
19.6759128: SyncUpdate -3674442228563274939 127.0.0.1
19.7257606: SyncUpdate -3674442228563274939 127.0.0.1
19.792538: SyncUpdate -3674442228563274939 127.0.0.1
19.8592059: SyncUpdate -3674442228563274939 127.0.0.1
19.9092623: SyncUpdate -3674442228563274939 127.0.0.1
19.9592822: SyncUpdate -3674442228563274939 127.0.0.1
20.0092366: SyncUpdate -3674442228563274939 127.0.0.1
20.0592054: SyncUpdate -3674442228563274939 127.0.0.1
20.1092366: SyncUpdate -3674442228563274939 127.0.0.1
20.1759375: SyncUpdate -3674442228563274939 127.0.0.1
20.226059: SyncUpdate -3674442228563274939 127.0.0.1
20.2758858: SyncUpdate -3674442228563274939 127.0.0.1
20.3258227: SyncUpdate -3674442228563274939 127.0.0.1
20.392651: SyncUpdate -3674442228563274939 127.0.0.1
20.4426477: SyncUpdate -3674442228563274939 127.0.0.1
20.4926519: SyncUpdate -3674442228563274939 127.0.0.1
20.5426303: SyncUpdate -3674442228563274939 127.0.0.1
20.6092532: SyncUpdate -3674442228563274939 127.0.0.1
20.6426314: SyncUpdate -3674442228563274939 127.0.0.1
20.7092742: SyncUpdate -3674442228563274939 127.0.0.1
20.7759218: SyncUpdate -3674442228563274939 127.0.0.1
20.8429118: SyncUpdate -3674442228563274939 127.0.0.1
20.875954: SyncUpdate -3674442228563274939 127.0.0.1
20.9592523: SyncUpdate -3674442228563274939 127.0.0.1
21.0092407: SyncUpdate -3674442228563274939 127.0.0.1
21.0592419: SyncUpdate -3674442228563274939 127.0.0.1
21.1259103: SyncUpdate -3674442228563274939 127.0.0.1
21.1759963: SyncUpdate -3674442228563274939 127.0.0.1
21.2258807: SyncUpdate -3674442228563274939 127.0.0.1
21.2593113: SyncUpdate -3674442228563274939 127.0.0.1
21.3426614: SyncUpdate -3674442228563274939 127.0.0.1
21.3926734: SyncUpdate -3674442228563274939 127.0.0.1
21.4426586: SyncUpdate -3674442228563274939 127.0.0.1
21.4926653: SyncUpdate -3674442228563274939 127.0.0.1
21.575994: SyncUpdate -3674442228563274939 127.0.0.1
21.6258965: SyncUpdate -3674442228563274939 127.0.0.1
21.6760005: SyncUpdate -3674442228563274939 127.0.0.1
21.7259139: SyncUpdate -3674442228563274939 127.0.0.1
21.776051: SyncUpdate -3674442228563274939 127.0.0.1
21.825928: SyncUpdate -3674442228563274939 127.0.0.1
21.8759963: SyncUpdate -3674442228563274939 127.0.0.1
21.9259112: SyncUpdate -3674442228563274939 127.0.0.1
21.9760061: SyncUpdate -3674442228563274939 127.0.0.1
22.0259103: SyncUpdate -3674442228563274939 127.0.0.1
22.0760595: SyncUpdate -3674442228563274939 127.0.0.1
22.1427224: SyncUpdate -3674442228563274939 127.0.0.1
22.1927311: SyncUpdate -3674442228563274939 127.0.0.1
22.2427586: SyncUpdate -3674442228563274939 127.0.0.1
22.3093892: SyncUpdate -3674442228563274939 127.0.0.1
22.3594323: SyncUpdate -3674442228563274939 127.0.0.1
22.4094515: SyncUpdate -3674442228563274939 127.0.0.1
22.4595879: SyncUpdate -3674442228563274939 127.0.0.1
22.5094348: SyncUpdate -3674442228563274939 127.0.0.1
22.57616: SyncUpdate -3674442228563274939 127.0.0.1
22.6260662: RPC ServerOnly NetSyncId: -1 Function: SpawnProjectile( 502, (-27.1, 2.6, 11.0), (0.0, 0.1, 0.0, -1.0) )

22.6429223: SyncUpdate -3674442228563274939 127.0.0.1
22.6761745: SyncUpdate -3674442228563274939 127.0.0.1
22.6928515: SyncUpdate -3674442228563274939 127.0.0.1
22.6931486: SyncUpdate -3674442228563274939 127.0.0.1
22.7095657: SyncUpdate -3674442228563274939 127.0.0.1
22.7261252: SyncUpdate -3674442228563274939 127.0.0.1
22.7428824: SyncUpdate -3674442228563274939 127.0.0.1
22.7596408: SyncUpdate -3674442228563274939 127.0.0.1
22.7599602: SyncUpdate -3674442228563274939 127.0.0.1
22.7762578: SyncUpdate -3674442228563274939 127.0.0.1
22.7765864: SyncUpdate -3674442228563274939 127.0.0.1
22.8095402: SyncUpdate -3674442228563274939 127.0.0.1
22.8098401: SyncUpdate -3674442228563274939 127.0.0.1
22.8260975: SyncUpdate -3674442228563274939 127.0.0.1
22.8428896: SyncUpdate -3674442228563274939 127.0.0.1
22.8595612: SyncUpdate -3674442228563274939 127.0.0.1
22.8762816: SyncUpdate -3674442228563274939 127.0.0.1
22.8766267: SyncUpdate -3674442228563274939 127.0.0.1
22.892954: SyncUpdate -3674442228563274939 127.0.0.1
22.8932763: SyncUpdate -3674442228563274939 127.0.0.1
22.9261929: SyncUpdate -3674442228563274939 127.0.0.1
22.926529: SyncUpdate -3674442228563274939 127.0.0.1
22.9431707: SyncUpdate -3674442228563274939 127.0.0.1
22.9434934: SyncUpdate -3674442228563274939 127.0.0.1
22.9763341: SyncUpdate -3674442228563274939 127.0.0.1
22.9766508: SyncUpdate -3674442228563274939 127.0.0.1
22.9929906: SyncUpdate -3674442228563274939 127.0.0.1
23.0098577: RPC ServerOnly NetSyncId: -1 Function: SpawnProjectile( 502, (-27.1, 2.5, 11.6), (0.0, 0.0, 0.0, -1.0) )

23.0102327: SyncUpdate -3674442228563274939 127.0.0.1
23.0261903: SyncUpdate -3674442228563274939 127.0.0.1
23.026484: SyncUpdate -3674442228563274939 127.0.0.1
23.0429676: SyncUpdate -3674442228563274939 127.0.0.1
23.0596392: SyncUpdate -3674442228563274939 127.0.0.1
23.0602156: SyncUpdate -3674442228563274939 127.0.0.1
23.0763078: SyncUpdate -3674442228563274939 127.0.0.1
23.0765806: SyncUpdate -3674442228563274939 127.0.0.1
23.076842: SyncUpdate -3674442228563274939 127.0.0.1
23.0929708: SyncUpdate -3674442228563274939 127.0.0.1
23.0932963: SyncUpdate -3674442228563274939 127.0.0.1
23.1096357: SyncUpdate -3674442228563274939 127.0.0.1
23.1099618: SyncUpdate -3674442228563274939 127.0.0.1
23.1102581: SyncUpdate -3674442228563274939 127.0.0.1
23.1262153: SyncUpdate -3674442228563274939 127.0.0.1
23.1265989: SyncUpdate -3674442228563274939 127.0.0.1
23.1430641: SyncUpdate -3674442228563274939 127.0.0.1
23.1436941: SyncUpdate -3674442228563274939 127.0.0.1
23.1596467: SyncUpdate -3674442228563274939 127.0.0.1
23.1599733: SyncUpdate -3674442228563274939 127.0.0.1
23.1765341: RPC ServerOnly NetSyncId: -1 Function: SpawnProjectile( 502, (-27.1, 2.5, 11.7), (0.0, 0.0, 0.0, -1.0) )

23.1775203: SyncUpdate -3674442228563274939 127.0.0.1
23.177909: SyncUpdate -3674442228563274939 127.0.0.1
23.1782357: SyncUpdate -3674442228563274939 127.0.0.1
23.1930244: SyncUpdate -3674442228563274939 127.0.0.1
23.1934008: SyncUpdate -3674442228563274939 127.0.0.1
23.2097011: SyncUpdate -3674442228563274939 127.0.0.1
23.2100291: SyncUpdate -3674442228563274939 127.0.0.1
23.2264795: SyncUpdate -3674442228563274939 127.0.0.1
23.2267697: SyncUpdate -3674442228563274939 127.0.0.1
23.2270408: SyncUpdate -3674442228563274939 127.0.0.1
23.2272896: SyncUpdate -3674442228563274939 127.0.0.1
23.2430683: SyncUpdate -3674442228563274939 127.0.0.1
23.2434081: SyncUpdate -3674442228563274939 127.0.0.1
23.2436664: SyncUpdate -3674442228563274939 127.0.0.1
23.2439193: SyncUpdate -3674442228563274939 127.0.0.1
23.2441682: SyncUpdate -3674442228563274939 127.0.0.1
23.2444099: SyncUpdate -3674442228563274939 127.0.0.1
23.276349: SyncUpdate -3674442228563274939 127.0.0.1
23.2766577: SyncUpdate -3674442228563274939 127.0.0.1
23.2771521: SyncUpdate -3674442228563274939 127.0.0.1
23.277444: SyncUpdate -3674442228563274939 127.0.0.1
23.2930266: SyncUpdate -3674442228563274939 127.0.0.1
23.2933499: SyncUpdate -3674442228563274939 127.0.0.1
23.2936378: SyncUpdate -3674442228563274939 127.0.0.1
23.2939141: RPC ServerOnly NetSyncId: -1 Function: SpawnProjectile( 502, (-27.2, 2.6, 11.7), (0.0, 0.0, 0.0, -1.0) )

23.2944526: SyncUpdate -3674442228563274939 127.0.0.1
23.294711: SyncUpdate -3674442228563274939 127.0.0.1
23.2950141: SyncUpdate -3674442228563274939 127.0.0.1
23.3262293: SyncUpdate -3674442228563274939 127.0.0.1
23.3265323: SyncUpdate -3674442228563274939 127.0.0.1
23.3270352: SyncUpdate -3674442228563274939 127.0.0.1
23.327317: SyncUpdate -3674442228563274939 127.0.0.1
23.3430743: SyncUpdate -3674442228563274939 127.0.0.1
23.3434201: SyncUpdate -3674442228563274939 127.0.0.1
23.3437067: SyncUpdate -3674442228563274939 127.0.0.1
23.3439634: SyncUpdate -3674442228563274939 127.0.0.1
23.3596887: SyncUpdate -3674442228563274939 127.0.0.1
23.3600167: SyncUpdate -3674442228563274939 127.0.0.1
23.3602657: SyncUpdate -3674442228563274939 127.0.0.1
23.3605083: SyncUpdate -3674442228563274939 127.0.0.1
23.3764119: SyncUpdate -3674442228563274939 127.0.0.1
23.3769953: SyncUpdate -3674442228563274939 127.0.0.1
23.3772882: SyncUpdate -3674442228563274939 127.0.0.1
23.37754: SyncUpdate -3674442228563274939 127.0.0.1
23.3777849: SyncUpdate -3674442228563274939 127.0.0.1
23.3930891: SyncUpdate -3674442228563274939 127.0.0.1
23.3934198: SyncUpdate -3674442228563274939 127.0.0.1
23.3936844: SyncUpdate -3674442228563274939 127.0.0.1
23.3939447: SyncUpdate -3674442228563274939 127.0.0.1
23.4097062: SyncUpdate -3674442228563274939 127.0.0.1
23.4100519: SyncUpdate -3674442228563274939 127.0.0.1
23.4103392: SyncUpdate -3674442228563274939 127.0.0.1
23.4106048: SyncUpdate -3674442228563274939 127.0.0.1
23.4265184: SyncUpdate -3674442228563274939 127.0.0.1
23.4269251: SyncUpdate -3674442228563274939 127.0.0.1
23.4271995: SyncUpdate -3674442228563274939 127.0.0.1
23.4274549: SyncUpdate -3674442228563274939 127.0.0.1
23.4430773: SyncUpdate -3674442228563274939 127.0.0.1
23.4434098: SyncUpdate -3674442228563274939 127.0.0.1
23.4437024: SyncUpdate -3674442228563274939 127.0.0.1
23.4439592: SyncUpdate -3674442228563274939 127.0.0.1
23.4442067: SyncUpdate -3674442228563274939 127.0.0.1
23.4596999: SyncUpdate -3674442228563274939 127.0.0.1
23.460022: SyncUpdate -3674442228563274939 127.0.0.1
23.4603072: SyncUpdate -3674442228563274939 127.0.0.1
23.4608078: SyncUpdate -3674442228563274939 127.0.0.1
23.4763975: RPC ServerOnly NetSyncId: -1 Function: SpawnProjectile( 502, (-27.2, 2.6, 11.7), (0.0, 0.0, 0.0, -1.0) )

23.476778: SyncUpdate -3674442228563274939 127.0.0.1
23.4770515: SyncUpdate -3674442228563274939 127.0.0.1
23.4772984: SyncUpdate -3674442228563274939 127.0.0.1
23.4775414: SyncUpdate -3674442228563274939 127.0.0.1
23.4930318: SyncUpdate -3674442228563274939 127.0.0.1
23.4933253: SyncUpdate -3674442228563274939 127.0.0.1
23.4935941: SyncUpdate -3674442228563274939 127.0.0.1
23.4938681: SyncUpdate -3674442228563274939 127.0.0.1
23.4941205: SyncUpdate -3674442228563274939 127.0.0.1
23.5099795: SyncUpdate -3674442228563274939 127.0.0.1
23.5102943: SyncUpdate -3674442228563274939 127.0.0.1
23.510577: SyncUpdate -3674442228563274939 127.0.0.1
23.5108262: SyncUpdate -3674442228563274939 127.0.0.1
23.5262446: SyncUpdate -3674442228563274939 127.0.0.1
23.5265716: SyncUpdate -3674442228563274939 127.0.0.1
23.5268536: SyncUpdate -3674442228563274939 127.0.0.1
23.5271089: SyncUpdate -3674442228563274939 127.0.0.1
23.5273588: SyncUpdate -3674442228563274939 127.0.0.1
23.5430421: SyncUpdate -3674442228563274939 127.0.0.1
23.5435615: SyncUpdate -3674442228563274939 127.0.0.1
23.5441477: SyncUpdate -3674442228563274939 127.0.0.1
23.544835: SyncUpdate -3674442228563274939 127.0.0.1
23.5451069: SyncUpdate -3674442228563274939 127.0.0.1
23.5453596: SyncUpdate -3674442228563274939 127.0.0.1
23.5597264: Destroy -3674442228563274939 127.0.0.1
23.5612379: SyncUpdate -3674442228563274939 127.0.0.1
23.5616306: SyncUpdate -3674442228563274939 127.0.0.1
23.561889: SyncUpdate -3674442228563274939 127.0.0.1
23.562134: SyncUpdate -3674442228563274939 127.0.0.1
23.5623801: SyncUpdate -3674442228563274939 127.0.0.1
23.5626222: SyncUpdate -3674442228563274939 127.0.0.1
23.5628388: SyncUpdate -3674442228563274939 127.0.0.1
23.5631334: SyncUpdate -3674442228563274939 127.0.0.1
23.5636078: SyncUpdate -3674442228563274939 127.0.0.1
23.5638938: SyncUpdate -3674442228563274939 127.0.0.1
23.5930269: SyncUpdate -3674442228563274939 127.0.0.1
23.5933753: SyncUpdate -3674442228563274939 127.0.0.1
23.5936436: SyncUpdate -3674442228563274939 127.0.0.1
23.593893: SyncUpdate -3674442228563274939 127.0.0.1
23.5941336: SyncUpdate -3674442228563274939 127.0.0.1
23.6097202: SyncUpdate -3674442228563274939 127.0.0.1
23.6100244: SyncUpdate -3674442228563274939 127.0.0.1
23.6103027: SyncUpdate -3674442228563274939 127.0.0.1
23.6105494: SyncUpdate -3674442228563274939 127.0.0.1
23.6262903: SyncUpdate -3674442228563274939 127.0.0.1
23.6269471: SyncUpdate -3674442228563274939 127.0.0.1
23.6272459: SyncUpdate -3674442228563274939 127.0.0.1
23.6275026: SyncUpdate -3674442228563274939 127.0.0.1
23.6430725: SyncUpdate -3674442228563274939 127.0.0.1
23.6433937: SyncUpdate -3674442228563274939 127.0.0.1
23.6436467: SyncUpdate -3674442228563274939 127.0.0.1
23.643893: SyncUpdate -3674442228563274939 127.0.0.1
23.6597146: SyncUpdate -3674442228563274939 127.0.0.1
23.6600069: SyncUpdate -3674442228563274939 127.0.0.1
23.6603132: SyncUpdate -3674442228563274939 127.0.0.1
23.6605825: SyncUpdate -3674442228563274939 127.0.0.1
23.6608905: SyncUpdate -3674442228563274939 127.0.0.1
23.6613522: SyncUpdate -3674442228563274939 127.0.0.1
23.6616022: SyncUpdate -3674442228563274939 127.0.0.1
23.6618864: SyncUpdate -3674442228563274939 127.0.0.1
23.6621346: SyncUpdate -3674442228563274939 127.0.0.1
23.6930696: SyncUpdate -3674442228563274939 127.0.0.1
23.6934023: SyncUpdate -3674442228563274939 127.0.0.1
23.6936694: SyncUpdate -3674442228563274939 127.0.0.1
23.6939642: SyncUpdate -3674442228563274939 127.0.0.1
23.7097453: SyncUpdate -3674442228563274939 127.0.0.1
23.7100852: SyncUpdate -3674442228563274939 127.0.0.1
23.7103434: SyncUpdate -3674442228563274939 127.0.0.1
23.7105905: SyncUpdate -3674442228563274939 127.0.0.1
23.7263144: SyncUpdate -3674442228563274939 127.0.0.1
23.7266093: SyncUpdate -3674442228563274939 127.0.0.1
23.7268778: SyncUpdate -3674442228563274939 127.0.0.1
23.727127: SyncUpdate -3674442228563274939 127.0.0.1
23.7273714: SyncUpdate -3674442228563274939 127.0.0.1
23.7431187: SyncUpdate -3674442228563274939 127.0.0.1
23.743432: SyncUpdate -3674442228563274939 127.0.0.1
23.7437395: SyncUpdate -3674442228563274939 127.0.0.1
23.7439998: SyncUpdate -3674442228563274939 127.0.0.1
23.7597378: SyncUpdate -3674442228563274939 127.0.0.1
23.7600611: SyncUpdate -3674442228563274939 127.0.0.1
23.7605573: SyncUpdate -3674442228563274939 127.0.0.1
23.7608716: SyncUpdate -3674442228563274939 127.0.0.1
23.7764108: SyncUpdate -3674442228563274939 127.0.0.1
23.7767427: SyncUpdate -3674442228563274939 127.0.0.1
23.777112: SyncUpdate -3674442228563274939 127.0.0.1
23.7773922: SyncUpdate -3674442228563274939 127.0.0.1
23.7931276: Destroy -3674442228563274939 127.0.0.1
23.7934453: SyncUpdate -3674442228563274939 127.0.0.1
23.7937461: SyncUpdate -3674442228563274939 127.0.0.1
23.7939808: SyncUpdate -3674442228563274939 127.0.0.1
23.7942541: SyncUpdate -3674442228563274939 127.0.0.1
23.7945099: SyncUpdate -3674442228563274939 127.0.0.1
23.7949723: Destroy -3674442228563274939 127.0.0.1
23.7951989: SyncUpdate -3674442228563274939 127.0.0.1
23.7954175: SyncUpdate -3674442228563274939 127.0.0.1
23.7956609: SyncUpdate -3674442228563274939 127.0.0.1
23.7959342: SyncUpdate -3674442228563274939 127.0.0.1
23.8262716: SyncUpdate -3674442228563274939 127.0.0.1
23.8265918: SyncUpdate -3674442228563274939 127.0.0.1
23.8268564: SyncUpdate -3674442228563274939 127.0.0.1
23.8431077: SyncUpdate -3674442228563274939 127.0.0.1
23.8434249: SyncUpdate -3674442228563274939 127.0.0.1
23.8437012: SyncUpdate -3674442228563274939 127.0.0.1
23.8439512: SyncUpdate -3674442228563274939 127.0.0.1
23.84439: SyncUpdate -3674442228563274939 127.0.0.1
23.8446682: SyncUpdate -3674442228563274939 127.0.0.1
23.8449157: SyncUpdate -3674442228563274939 127.0.0.1
23.8764032: SyncUpdate -3674442228563274939 127.0.0.1
23.8767301: SyncUpdate -3674442228563274939 127.0.0.1
23.8769874: SyncUpdate -3674442228563274939 127.0.0.1
23.8772402: SyncUpdate -3674442228563274939 127.0.0.1
23.8774875: SyncUpdate -3674442228563274939 127.0.0.1
23.8777319: SyncUpdate -3674442228563274939 127.0.0.1
23.9097326: SyncUpdate -3674442228563274939 127.0.0.1
23.9100226: SyncUpdate -3674442228563274939 127.0.0.1
23.9104771: SyncUpdate -3674442228563274939 127.0.0.1
23.9107957: SyncUpdate -3674442228563274939 127.0.0.1
23.9262721: SyncUpdate -3674442228563274939 127.0.0.1
23.9265765: SyncUpdate -3674442228563274939 127.0.0.1
23.9268631: SyncUpdate -3674442228563274939 127.0.0.1
23.927113: SyncUpdate -3674442228563274939 127.0.0.1
23.9273578: SyncUpdate -3674442228563274939 127.0.0.1
23.9276244: SyncUpdate -3674442228563274939 127.0.0.1
23.9597712: SyncUpdate -3674442228563274939 127.0.0.1
23.9600436: SyncUpdate -3674442228563274939 127.0.0.1
23.9603069: SyncUpdate -3674442228563274939 127.0.0.1
23.9605784: SyncUpdate -3674442228563274939 127.0.0.1
23.96103: SyncUpdate -3674442228563274939 127.0.0.1
23.9613262: SyncUpdate -3674442228563274939 127.0.0.1
23.9615726: SyncUpdate -3674442228563274939 127.0.0.1
23.99309: SyncUpdate -3674442228563274939 127.0.0.1
23.9934044: SyncUpdate -3674442228563274939 127.0.0.1
23.9936576: SyncUpdate -3674442228563274939 127.0.0.1
24.0097451: SyncUpdate -3674442228563274939 127.0.0.1
24.0100655: SyncUpdate -3674442228563274939 127.0.0.1
24.0103521: SyncUpdate -3674442228563274939 127.0.0.1
24.0106087: Destroy -3674442228563274939 127.0.0.1
24.0108575: SyncUpdate -3674442228563274939 127.0.0.1
