...Logging started...
0.0405298: Server Started
9.2920835: RespondedAwaitingApproval 371932531141727072 127.0.0.1
9.3492657: RespondedConnect 371932531141727072 127.0.0.1
9.4522629: Connected 371932531141727072 127.0.0.1
9.4865415: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: StartVoIP( 1 )

9.5005579: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: SetPlayerId( 0 )

9.5941326: AreaChange 371932531141727072 127.0.0.1
9.694951: Instantiate 371932531141727072 127.0.0.1
	NetworkId: 1
	Prefab: Player
	Loc: -14.46048, 0.5, 14.54582
	Orientation: 0, 1, 0, 0
9.7371565: RPC ServerOnly NetSyncId: -1 Function: PlayerGameObjectSpawned( 0, 1 )

9.7549527: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: 1 Function: SetMovementSpeed( 150 )

9.7603303: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: SetFieldOfView( 10 )

9.8676911: LiteSyncUpdate 371932531141727072 127.0.0.1
10.4767137: SyncUpdate 371932531141727072 127.0.0.1
10.6021295: SyncUpdate 371932531141727072 127.0.0.1
10.6995697: SyncUpdate 371932531141727072 127.0.0.1
10.8075727: SyncUpdate 371932531141727072 127.0.0.1
10.9180111: SyncUpdate 371932531141727072 127.0.0.1
11.6495715: SyncUpdate 371932531141727072 127.0.0.1
12.0752156: SyncUpdate 371932531141727072 127.0.0.1
12.1699583: SyncUpdate 371932531141727072 127.0.0.1
12.3727043: SyncUpdate 371932531141727072 127.0.0.1
12.7691925: SyncUpdate 371932531141727072 127.0.0.1
13.2072191: SyncUpdate 371932531141727072 127.0.0.1
13.303749: SyncUpdate 371932531141727072 127.0.0.1
13.4150029: SyncUpdate 371932531141727072 127.0.0.1
13.5231286: SyncUpdate 371932531141727072 127.0.0.1
13.617575: SyncUpdate 371932531141727072 127.0.0.1
13.7441407: SyncUpdate 371932531141727072 127.0.0.1
13.8413238: SyncUpdate 371932531141727072 127.0.0.1
13.9684135: SyncUpdate 371932531141727072 127.0.0.1
14.1553932: SyncUpdate 371932531141727072 127.0.0.1
14.2146906: SyncUpdate 371932531141727072 127.0.0.1
14.3031837: SyncUpdate 371932531141727072 127.0.0.1
14.5428763: SyncUpdate 371932531141727072 127.0.0.1
14.549116: SyncUpdate 371932531141727072 127.0.0.1
14.7319028: SyncUpdate 371932531141727072 127.0.0.1
14.7997423: SyncUpdate 371932531141727072 127.0.0.1
14.9242548: SyncUpdate 371932531141727072 127.0.0.1
15.0494948: SyncUpdate 371932531141727072 127.0.0.1
15.1553215: SyncUpdate 371932531141727072 127.0.0.1
15.3542823: SyncUpdate 371932531141727072 127.0.0.1
15.5941289: SyncUpdate 371932531141727072 127.0.0.1
15.6009014: SyncUpdate 371932531141727072 127.0.0.1
15.7930612: SyncUpdate 371932531141727072 127.0.0.1
15.8525851: SyncUpdate 371932531141727072 127.0.0.1
15.9393588: SyncUpdate 371932531141727072 127.0.0.1
16.033597: SyncUpdate 371932531141727072 127.0.0.1
16.1536363: SyncUpdate 371932531141727072 127.0.0.1
16.2685783: SyncUpdate 371932531141727072 127.0.0.1
16.3659468: SyncUpdate 371932531141727072 127.0.0.1
16.5306853: SyncUpdate 371932531141727072 127.0.0.1
16.5888305: SyncUpdate 371932531141727072 127.0.0.1
16.7403048: SyncUpdate 371932531141727072 127.0.0.1
16.8438374: SyncUpdate 371932531141727072 127.0.0.1
17.2249999: SyncUpdate 371932531141727072 127.0.0.1
17.2883584: SyncUpdate 371932531141727072 127.0.0.1
